Matric Number,Score!
u15/fns/csc/1030,76
u15/fns/csc/1031,65
u15/fns/csc/1032,50
u15/fns/csc/1033,44
u15/fns/csc/1034,52
u15/fns/csc/1036,31
u15/fns/csc/1037,30
