Matric Number,Score!
u15/fns/csc/1030,60
u15/fns/csc/1031,56
u15/fns/csc/1032,50
u15/fns/csc/1033,55
u15/fns/csc/1034,52
u15/fns/csc/1036,31
u15/fns/csc/1037,30
